group,variable,value
Ashland,27-Sep,5
Ashland,28-Sep,7
Ashland,29-Sep,13
Ashland,30-Sep,5
Ashland,1-Oct,10
Ashland,2-Oct,5
Ashland,3-Oct,5
Ashland,4-Oct,3
Ashland,5-Oct,10
Ashland,6-Oct,7
Ashland,7-Oct,12
Ashland,8-Oct,4
Ashland,9-Oct,6
Ashland,10-Oct,2
Ashland,11-Oct,4
Ashland,12-Oct,8
Ashland,13-Oct,5
Ashland,14-Oct,7
Ashland,15-Oct,4
Ashland,16-Oct,6
Ashland,17-Oct,5
Ashland,18-Oct,8
Ashland,19-Oct,15
Ashland,20-Oct,7
Ashland,21-Oct,15
Ashland,22-Oct,9
Ashland,23-Oct,14
Ashland,24-Oct,12
Ashland,25-Oct,10
Ashland,26-Oct,10
Ashland,27-Oct,7
Ashland,28-Oct,11
Ashland,29-Oct,12
Ashland,30-Oct,13
Ashland,31-Oct,12
Ashland,1-Nov,13
Ashland,2-Nov,21
Ashland,3-Nov,22
Ashland,4-Nov,28
Ashland,5-Nov,30
Ashland,6-Nov,24
Ashland,7-Nov,17
Ashland,8-Nov,18
Ashland,9-Nov,44
Ashland,10-Nov,55
Ashland,11-Nov,45
Ashland,12-Nov,22
Ashland,13-Nov,42
Ashland,14-Nov,27
Ashland,15-Nov,34
Ashland,16-Nov,40
Ashland,17-Nov,51
Ashland,18-Nov,50
Ashland,19-Nov,36
Ashland,20-Nov,44
Ashland,21-Nov,32
Ashland,22-Nov,21
Ashland,23-Nov,39
Ashland,24-Nov,43
Ashland,25-Nov,34
Ashland,26-Nov,19
Ashland,27-Nov,43
Ashland,28-Nov,39
Ashland,29-Nov,29
Ashland,30-Nov,52
Ashland,1-Dec,81
Ashland,2-Dec,45
Ashland,3-Dec,40
Ashland,4-Dec,56
Ashland,5-Dec,39
Ashland,6-Dec,19
Ashland,7-Dec,47
Ashland,8-Dec,54
Ashland,9-Dec,44
Ashland,10-Dec,45
Ashland,11-Dec,47
Ashland,12-Dec,29
Ashland,13-Dec,22
Ashland,14-Dec,48
Ashland,15-Dec,52
Ashland,16-Dec,46
Ashland,17-Dec,37
Ashland,18-Dec,41
Ashland,19-Dec,23
Ashland,20-Dec,37
Ashland,21-Dec,44
Ashland,22-Dec,36
Ashland,23-Dec,35
Ashland,24-Dec,32
Ashland,25-Dec,12
Ashland,26-Dec,41
Ashland,27-Dec,27
Ashland,28-Dec,63
Ashland,29-Dec,40
Ashland,30-Dec,44
Ashland,31-Dec,32
Ashland,1-Jan,12
Ashland,2-Jan,21
Ashland,3-Jan,26
Ashland,4-Jan,55
Ashland,5-Jan,26
Ashland,6-Jan,39
Ashland,7-Jan,33
Ashland,8-Jan,33
Ashland,9-Jan,26
Ashland,10-Jan,23
Ashland,11-Jan,34
Ashland,12-Jan,39
Ashland,13-Jan,29
Ashland,14-Jan,24
Ashland,15-Jan,19
Ashland,16-Jan,10
Ashland,17-Jan,11
Ashtabula,1-Aug,2
Ashtabula,2-Aug,0
Ashtabula,3-Aug,6
Ashtabula,4-Aug,6
Ashtabula,5-Aug,3
Ashtabula,6-Aug,4
Ashtabula,7-Aug,8
Ashtabula,8-Aug,2
Ashtabula,9-Aug,2
Ashtabula,10-Aug,2
Ashtabula,11-Aug,1
Ashtabula,12-Aug,3
Ashtabula,13-Aug,0
Ashtabula,14-Aug,2
Ashtabula,15-Aug,1
Ashtabula,16-Aug,1
Ashtabula,17-Aug,2
Ashtabula,18-Aug,1
Ashtabula,19-Aug,0
Ashtabula,20-Aug,1
Ashtabula,21-Aug,0
Ashtabula,22-Aug,0
Ashtabula,23-Aug,3
Ashtabula,24-Aug,1
Ashtabula,25-Aug,2
Ashtabula,26-Aug,3
Ashtabula,27-Aug,4
Ashtabula,28-Aug,2
Ashtabula,29-Aug,2
Ashtabula,30-Aug,3
Ashtabula,31-Aug,5
Ashtabula,1-Sep,0
Ashtabula,2-Sep,3
Ashtabula,3-Sep,0
Ashtabula,4-Sep,1
Ashtabula,5-Sep,0
Ashtabula,6-Sep,1
Ashtabula,7-Sep,1
Ashtabula,8-Sep,0
Ashtabula,9-Sep,2
Ashtabula,10-Sep,3
Ashtabula,11-Sep,4
Ashtabula,12-Sep,3
Ashtabula,13-Sep,2
Ashtabula,14-Sep,1
Ashtabula,15-Sep,5
Ashtabula,16-Sep,2
Ashtabula,17-Sep,1
Ashtabula,18-Sep,3
Ashtabula,19-Sep,1
Ashtabula,20-Sep,1
Ashtabula,21-Sep,1
Ashtabula,22-Sep,1
Ashtabula,23-Sep,2
Ashtabula,24-Sep,1
Ashtabula,25-Sep,2
Ashtabula,26-Sep,2
Ashtabula,27-Sep,0
Ashtabula,28-Sep,4
Ashtabula,29-Sep,4
Ashtabula,30-Sep,3
Ashtabula,1-Oct,2
Ashtabula,2-Oct,2
Ashtabula,3-Oct,2
Ashtabula,4-Oct,0
Ashtabula,5-Oct,2
Ashtabula,6-Oct,1
Ashtabula,7-Oct,2
Ashtabula,8-Oct,2
Ashtabula,9-Oct,4
Ashtabula,10-Oct,1
Ashtabula,11-Oct,2
Ashtabula,12-Oct,7
Ashtabula,13-Oct,8
Ashtabula,14-Oct,4
Ashtabula,15-Oct,3
Ashtabula,16-Oct,3
Ashtabula,17-Oct,4
Ashtabula,18-Oct,5
Ashtabula,19-Oct,5
Ashtabula,20-Oct,6
Ashtabula,21-Oct,10
Ashtabula,22-Oct,15
Ashtabula,23-Oct,9
Ashtabula,24-Oct,8
Ashtabula,25-Oct,9
Ashtabula,26-Oct,15
Ashtabula,27-Oct,27
Ashtabula,28-Oct,32
Ashtabula,29-Oct,24
Ashtabula,30-Oct,26
Ashtabula,31-Oct,17
Ashtabula,1-Nov,25
Ashtabula,2-Nov,51
Ashtabula,3-Nov,31
Ashtabula,4-Nov,55
Ashtabula,5-Nov,59
Ashtabula,6-Nov,82
Ashtabula,7-Nov,39
Ashtabula,8-Nov,38
Ashtabula,9-Nov,106
Ashtabula,10-Nov,87
Ashtabula,11-Nov,103
Ashtabula,12-Nov,100
Ashtabula,13-Nov,82
Ashtabula,14-Nov,34
Ashtabula,15-Nov,39
Ashtabula,16-Nov,126
Ashtabula,17-Nov,67
Ashtabula,18-Nov,87
Ashtabula,19-Nov,84
Ashtabula,20-Nov,73
Ashtabula,21-Nov,39
Ashtabula,22-Nov,40
Ashtabula,23-Nov,109
Ashtabula,24-Nov,54
Ashtabula,25-Nov,27
Ashtabula,26-Nov,10
Ashtabula,27-Nov,53
Ashtabula,28-Nov,23
Ashtabula,29-Nov,13
Ashtabula,30-Nov,100
Ashtabula,1-Dec,34
Ashtabula,2-Dec,65
Ashtabula,3-Dec,54
Ashtabula,4-Dec,39
Ashtabula,5-Dec,17
Ashtabula,6-Dec,26
Ashtabula,7-Dec,65
Ashtabula,8-Dec,48
Ashtabula,9-Dec,45
Ashtabula,10-Dec,48
Ashtabula,11-Dec,36
Ashtabula,12-Dec,21
Ashtabula,13-Dec,21
Ashtabula,14-Dec,68
Ashtabula,15-Dec,35
Ashtabula,16-Dec,38
Ashtabula,17-Dec,38
Ashtabula,18-Dec,30
Ashtabula,19-Dec,19
Ashtabula,20-Dec,20
Ashtabula,21-Dec,66
Ashtabula,22-Dec,36
Ashtabula,23-Dec,42
Ashtabula,24-Dec,17
Ashtabula,25-Dec,2
Ashtabula,26-Dec,27
Ashtabula,27-Dec,32
Ashtabula,28-Dec,60
Ashtabula,29-Dec,46
Ashtabula,30-Dec,37
Ashtabula,31-Dec,36
Ashtabula,1-Jan,15
Ashtabula,2-Jan,31
Ashtabula,3-Jan,17
Ashtabula,4-Jan,55
Ashtabula,5-Jan,37
Ashtabula,6-Jan,46
Ashtabula,7-Jan,25
Ashtabula,8-Jan,29
Ashtabula,9-Jan,15
Ashtabula,10-Jan,19
Ashtabula,11-Jan,35
Ashtabula,12-Jan,35
Ashtabula,13-Jan,34
Ashtabula,14-Jan,17
Ashtabula,15-Jan,5
Ashtabula,16-Jan,0
Ashtabula,17-Jan,3
Athens,1-Aug,0
Athens,2-Aug,0
Athens,3-Aug,0
Athens,4-Aug,0
Athens,5-Aug,3
Athens,6-Aug,0
Athens,7-Aug,1
Athens,8-Aug,1
Athens,9-Aug,0
Athens,10-Aug,2
Athens,11-Aug,1
Athens,12-Aug,0
Athens,13-Aug,2
Athens,14-Aug,4
Athens,15-Aug,0
Athens,16-Aug,0
Athens,17-Aug,1
Athens,18-Aug,0
Athens,19-Aug,1
Athens,20-Aug,0
Athens,21-Aug,2
Athens,22-Aug,0
Athens,23-Aug,2
Athens,24-Aug,7
Athens,25-Aug,1
Athens,26-Aug,6
Athens,27-Aug,1
Athens,28-Aug,4
Athens,29-Aug,5
Athens,30-Aug,11
Athens,31-Aug,10
Athens,1-Sep,10
Athens,2-Sep,10
Athens,3-Sep,7
Athens,4-Sep,11
Athens,5-Sep,10
Athens,6-Sep,11
Athens,7-Sep,15
Athens,8-Sep,21
Athens,9-Sep,19
Athens,10-Sep,18
Athens,11-Sep,20
Athens,12-Sep,14
Athens,13-Sep,9
Athens,14-Sep,14
Athens,15-Sep,5
Athens,16-Sep,12
Athens,17-Sep,7
Athens,18-Sep,6
Athens,19-Sep,5
Athens,20-Sep,11
Athens,21-Sep,29
Athens,22-Sep,18
Athens,23-Sep,21
Athens,24-Sep,16
Athens,25-Sep,16
Athens,26-Sep,10
Athens,27-Sep,19
Athens,28-Sep,13
Athens,29-Sep,14
Athens,30-Sep,23
Athens,1-Oct,27
Athens,2-Oct,22
Athens,3-Oct,17
Athens,4-Oct,29
Athens,5-Oct,33
Athens,6-Oct,25
Athens,7-Oct,27
Athens,8-Oct,19
Athens,9-Oct,24
Athens,10-Oct,12
Athens,11-Oct,22
Athens,12-Oct,29
Athens,13-Oct,22
Athens,14-Oct,19
Athens,15-Oct,28
Athens,16-Oct,18
Athens,17-Oct,14
Athens,18-Oct,18
Athens,19-Oct,28
Athens,20-Oct,19
Athens,21-Oct,20
Athens,22-Oct,22
Athens,23-Oct,24
Athens,24-Oct,6
Athens,25-Oct,9
Athens,26-Oct,16
Athens,27-Oct,9
Athens,28-Oct,15
Athens,29-Oct,14
Athens,30-Oct,8
Athens,31-Oct,12
Athens,1-Nov,19
Athens,2-Nov,18
Athens,3-Nov,24
Athens,4-Nov,22
Athens,5-Nov,22
Athens,6-Nov,19
Athens,7-Nov,21
Athens,8-Nov,28
Athens,9-Nov,33
Athens,10-Nov,23
Athens,11-Nov,25
Athens,12-Nov,16
Athens,13-Nov,17
Athens,14-Nov,19
Athens,15-Nov,16
Athens,16-Nov,35
Athens,17-Nov,28
Athens,18-Nov,35
Athens,19-Nov,31
Athens,20-Nov,47
Athens,21-Nov,31
Athens,22-Nov,35
Athens,23-Nov,41
Athens,24-Nov,49
Athens,25-Nov,46
Athens,26-Nov,27
Athens,27-Nov,37
Athens,28-Nov,28
Athens,29-Nov,32
Athens,30-Nov,47
Athens,1-Dec,47
Athens,2-Dec,36
Athens,3-Dec,42
Athens,4-Dec,29
Athens,5-Dec,24
Athens,6-Dec,32
Athens,7-Dec,36
Athens,8-Dec,36
Athens,9-Dec,37
Athens,10-Dec,23
Athens,11-Dec,29
Athens,12-Dec,20
Athens,13-Dec,24
Athens,14-Dec,34
Athens,15-Dec,35
Athens,16-Dec,18
Athens,17-Dec,21
Athens,18-Dec,23
Athens,19-Dec,16
Athens,20-Dec,14
Athens,21-Dec,39
Athens,22-Dec,36
Athens,23-Dec,23
Athens,24-Dec,19
Athens,25-Dec,19
Athens,26-Dec,35
Athens,27-Dec,16
Athens,28-Dec,44
Athens,29-Dec,23
Athens,30-Dec,33
Athens,31-Dec,26
Athens,1-Jan,26
Athens,2-Jan,25
Athens,3-Jan,31
Athens,4-Jan,51
Athens,5-Jan,32
Athens,6-Jan,23
Athens,7-Jan,47
Athens,8-Jan,28
Athens,9-Jan,24
Athens,10-Jan,19
Athens,11-Jan,43
Athens,12-Jan,22
Athens,13-Jan,34
Athens,14-Jan,24
Athens,15-Jan,6
Athens,16-Jan,4
Athens,17-Jan,2
Auglaize,1-Aug,2
Auglaize,2-Aug,10
Auglaize,3-Aug,7
Auglaize,4-Aug,4
Auglaize,5-Aug,5
Auglaize,6-Aug,9
Auglaize,7-Aug,3
Auglaize,8-Aug,2
Auglaize,9-Aug,4
Auglaize,10-Aug,15
Auglaize,11-Aug,6
Auglaize,12-Aug,6
Auglaize,13-Aug,5
Auglaize,14-Aug,12
Auglaize,15-Aug,6
Auglaize,16-Aug,9
Auglaize,17-Aug,11
Auglaize,18-Aug,10
Auglaize,19-Aug,8
Auglaize,20-Aug,4
Auglaize,21-Aug,8
Auglaize,22-Aug,3
Auglaize,23-Aug,6
Auglaize,24-Aug,8
Auglaize,25-Aug,9
Auglaize,26-Aug,11
Auglaize,27-Aug,9
Auglaize,28-Aug,13
Auglaize,29-Aug,5
Auglaize,30-Aug,1
Auglaize,31-Aug,8
Auglaize,1-Sep,8
Auglaize,2-Sep,7
Auglaize,3-Sep,11
Auglaize,4-Sep,9
Auglaize,5-Sep,6
Auglaize,6-Sep,2
Auglaize,7-Sep,5
Auglaize,8-Sep,10
Auglaize,9-Sep,11
Auglaize,10-Sep,8
Auglaize,11-Sep,7
Auglaize,12-Sep,3
Auglaize,13-Sep,3
Auglaize,14-Sep,9
Auglaize,15-Sep,13
Auglaize,16-Sep,3
Auglaize,17-Sep,4
Auglaize,18-Sep,2
Auglaize,19-Sep,5
Auglaize,20-Sep,8
Auglaize,21-Sep,6
Auglaize,22-Sep,16
Auglaize,23-Sep,11
Auglaize,24-Sep,5
Auglaize,25-Sep,9
Auglaize,26-Sep,7
Auglaize,27-Sep,6
Auglaize,28-Sep,18
Auglaize,29-Sep,16
Auglaize,30-Sep,17
Auglaize,1-Oct,7
Auglaize,2-Oct,15
Auglaize,3-Oct,12
Auglaize,4-Oct,12
Auglaize,5-Oct,11
Auglaize,6-Oct,14
Auglaize,7-Oct,26
Auglaize,8-Oct,18
Auglaize,9-Oct,21
Auglaize,10-Oct,21
Auglaize,11-Oct,25
Auglaize,12-Oct,37
Auglaize,13-Oct,31
Auglaize,14-Oct,19
Auglaize,15-Oct,23
Auglaize,16-Oct,11
Auglaize,17-Oct,20
Auglaize,18-Oct,20
Auglaize,19-Oct,50
Auglaize,20-Oct,25
Auglaize,21-Oct,25
Auglaize,22-Oct,49
Auglaize,23-Oct,26
Auglaize,24-Oct,14
Auglaize,25-Oct,25
Auglaize,26-Oct,50
Auglaize,27-Oct,38
Auglaize,28-Oct,42
Auglaize,29-Oct,42
Auglaize,30-Oct,26
Auglaize,31-Oct,31
Auglaize,1-Nov,36
Auglaize,2-Nov,63
Auglaize,3-Nov,42
Auglaize,4-Nov,38
Auglaize,5-Nov,43
Auglaize,6-Nov,35
Auglaize,7-Nov,37
Auglaize,8-Nov,37
Auglaize,9-Nov,100
Auglaize,10-Nov,60
Auglaize,11-Nov,44
Auglaize,12-Nov,50
Auglaize,13-Nov,43
Auglaize,14-Nov,40
Auglaize,15-Nov,42
Auglaize,16-Nov,52
Auglaize,17-Nov,40
Auglaize,18-Nov,40
Auglaize,19-Nov,32
Auglaize,20-Nov,47
Auglaize,21-Nov,39
Auglaize,22-Nov,22
Auglaize,23-Nov,47
Auglaize,24-Nov,43
Auglaize,25-Nov,48
Auglaize,26-Nov,30
Auglaize,27-Nov,37
Auglaize,28-Nov,32
Auglaize,29-Nov,22
Auglaize,30-Nov,46
Auglaize,1-Dec,35
Auglaize,2-Dec,26
Auglaize,3-Dec,31
Auglaize,4-Dec,40
Auglaize,5-Dec,20
Auglaize,6-Dec,26
Auglaize,7-Dec,39
Auglaize,8-Dec,42
Auglaize,9-Dec,24
Auglaize,10-Dec,28
Auglaize,11-Dec,16
Auglaize,12-Dec,22
Auglaize,13-Dec,26
Auglaize,14-Dec,52
Auglaize,15-Dec,32
Auglaize,16-Dec,36
Auglaize,17-Dec,42
Auglaize,18-Dec,29
Auglaize,19-Dec,18
Auglaize,20-Dec,25
Auglaize,21-Dec,45
Auglaize,22-Dec,31
Auglaize,23-Dec,40
Auglaize,24-Dec,21
Auglaize,25-Dec,18
Auglaize,26-Dec,26
Auglaize,27-Dec,27
Auglaize,28-Dec,44
Auglaize,29-Dec,37
Auglaize,30-Dec,26
Auglaize,31-Dec,29
Auglaize,1-Jan,31
Auglaize,2-Jan,19
Auglaize,3-Jan,23
Auglaize,4-Jan,51
Auglaize,5-Jan,39
Auglaize,6-Jan,27
Auglaize,7-Jan,24
Auglaize,8-Jan,33
Auglaize,9-Jan,26
Auglaize,10-Jan,17
Auglaize,11-Jan,17
Auglaize,12-Jan,20
Auglaize,13-Jan,16
Auglaize,14-Jan,17
Auglaize,15-Jan,8
Auglaize,16-Jan,4
Auglaize,17-Jan,4
Belmont,1-Aug,1
Belmont,2-Aug,1
Belmont,3-Aug,6
Belmont,4-Aug,1
Belmont,5-Aug,3
Belmont,6-Aug,5
Belmont,7-Aug,1
Belmont,8-Aug,2
Belmont,9-Aug,0
Belmont,10-Aug,4
Belmont,11-Aug,2
Belmont,12-Aug,5
Belmont,13-Aug,1
Belmont,14-Aug,2
Belmont,15-Aug,2
Belmont,16-Aug,5
Belmont,17-Aug,1
Belmont,18-Aug,4
Belmont,19-Aug,1
Belmont,20-Aug,1
Belmont,21-Aug,1
Belmont,22-Aug,0
Belmont,23-Aug,0
Belmont,24-Aug,0
Belmont,25-Aug,1
Belmont,26-Aug,1
Belmont,27-Aug,2
Belmont,28-Aug,2
Belmont,29-Aug,0
Belmont,30-Aug,0
Belmont,31-Aug,2
Belmont,1-Sep,2
Belmont,2-Sep,2
Belmont,3-Sep,0
Belmont,4-Sep,0
Belmont,5-Sep,1
Belmont,6-Sep,0
Belmont,7-Sep,2
Belmont,8-Sep,2
Belmont,9-Sep,3
Belmont,10-Sep,0
Belmont,11-Sep,1
Belmont,12-Sep,2
Belmont,13-Sep,0
Belmont,14-Sep,2
Belmont,15-Sep,3
Belmont,16-Sep,1
Belmont,17-Sep,5
Belmont,18-Sep,1
Belmont,19-Sep,0
Belmont,20-Sep,1
Belmont,21-Sep,0
Belmont,22-Sep,5
Belmont,23-Sep,1
Belmont,24-Sep,0
